type_id,type_description,type_description_pt
-1,Unknown,Desconhecido
1,Credit card,Cartão de crédito
2,Debit card,Cartão de débito
3,Transfer sent,Transferência
4,Withdrawal,Saque
5,Bill payment,Pagamento de Conta
6,Wire transfer,Transferência Bancária
7,Loan payment,Pagamento de Empréstimo
8,Refund,Estorno
9,Deposit,Depósito
10,Fee,Taxa
11,Interest,Juros
12,Pix sent,Pix enviado
13,Pix received,Pix recebido
14,Payment slip,Boleto
15,Antecipated installment,Parcela Antecipada
16,Late credit,Crédito de Atraso
17,Late balance,Saldo de Atraso
18,Investment,Investimento
19,Cashback,Cashback
20,Automatic debit,Débito Automático
21,Transfer received,Transferência Recebida
